Species_S,Unstable,Stable,Destabilised,Stabilised,Infeasible,Feasible,Made_infeasible,Made_feasible
2,59,99941,0,0,16015,54510,23757,5718
3,228,99772,0,0,46846,17089,28405,7660
4,694,99301,5,0,75283,3306,17219,4192
5,1548,98439,13,0,90949,450,7227,1374
6,3115,96834,48,3,97287,38,2352,323
7,5526,94332,114,28,99349,1,598,52
8,8781,90861,265,93,99857,0,137,6
9,13244,86035,481,240,99977,0,21,2
10,18598,80043,844,515,99994,0,6,0
11,24816,72770,1394,1020,99999,0,1,0
12,31334,64884,2001,1781,99999,0,1,0
13,38984,55866,2501,2649,100000,0,0,0
14,46472,46689,3073,3766,100000,0,0,0
15,54436,37412,3360,4792,100000,0,0,0
16,62395,28727,3567,5311,100000,0,0,0
17,69737,20949,3504,5810,100000,0,0,0
18,76580,14478,3092,5850,100000,0,0,0
19,82669,9330,2675,5326,100000,0,0,0
20,87770,5796,2036,4398,100000,0,0,0
21,91702,3342,1421,3535,100000,0,0,0
22,94484,1783,1006,2727,100000,0,0,0
23,96750,838,629,1783,100000,0,0,0
24,98047,393,320,1240,100000,0,0,0
25,98963,179,168,690,100000,0,0,0
26,99454,53,87,406,100000,0,0,0
27,99682,26,41,251,100000,0,0,0
28,99842,9,16,133,100000,0,0,0
29,99941,4,4,51,100000,0,0,0
30,99973,1,5,21,100000,0,0,0
31,99989,1,1,9,100000,0,0,0
32,99996,0,0,4,100000,0,0,0
33,99999,0,0,1,100000,0,0,0
34,100000,0,0,0,100000,0,0,0
35,100000,0,0,0,100000,0,0,0
36,100000,0,0,0,100000,0,0,0
37,100000,0,0,0,100000,0,0,0
38,100000,0,0,0,100000,0,0,0
39,100000,0,0,0,100000,0,0,0
40,100000,0,0,0,100000,0,0,0
41,100000,0,0,0,100000,0,0,0
42,100000,0,0,0,100000,0,0,0
43,100000,0,0,0,100000,0,0,0
44,100000,0,0,0,100000,0,0,0
45,100000,0,0,0,100000,0,0,0
46,100000,0,0,0,100000,0,0,0
47,100000,0,0,0,100000,0,0,0
48,100000,0,0,0,100000,0,0,0
49,100000,0,0,0,100000,0,0,0
50,100000,0,0,0,100000,0,0,0
51,100000,0,0,0,100000,0,0,0
52,100000,0,0,0,100000,0,0,0
53,100000,0,0,0,100000,0,0,0
54,100000,0,0,0,100000,0,0,0
55,100000,0,0,0,100000,0,0,0
56,100000,0,0,0,100000,0,0,0
57,100000,0,0,0,100000,0,0,0
58,100000,0,0,0,100000,0,0,0
59,100000,0,0,0,100000,0,0,0
60,100000,0,0,0,100000,0,0,0
61,100000,0,0,0,100000,0,0,0
62,100000,0,0,0,100000,0,0,0
63,100000,0,0,0,100000,0,0,0
64,100000,0,0,0,100000,0,0,0
65,100000,0,0,0,100000,0,0,0
66,100000,0,0,0,100000,0,0,0
67,100000,0,0,0,100000,0,0,0
68,100000,0,0,0,100000,0,0,0
69,100000,0,0,0,100000,0,0,0
70,100000,0,0,0,100000,0,0,0
71,100000,0,0,0,100000,0,0,0
72,100000,0,0,0,100000,0,0,0
73,100000,0,0,0,100000,0,0,0
74,100000,0,0,0,100000,0,0,0
75,100000,0,0,0,100000,0,0,0
76,100000,0,0,0,100000,0,0,0
77,100000,0,0,0,100000,0,0,0
78,100000,0,0,0,100000,0,0,0
79,100000,0,0,0,100000,0,0,0
80,100000,0,0,0,100000,0,0,0
81,100000,0,0,0,100000,0,0,0
82,100000,0,0,0,100000,0,0,0
83,100000,0,0,0,100000,0,0,0
84,100000,0,0,0,100000,0,0,0
85,100000,0,0,0,100000,0,0,0
86,100000,0,0,0,100000,0,0,0
87,100000,0,0,0,100000,0,0,0
88,100000,0,0,0,100000,0,0,0
89,100000,0,0,0,100000,0,0,0
90,100000,0,0,0,100000,0,0,0
91,100000,0,0,0,100000,0,0,0
92,100000,0,0,0,100000,0,0,0
93,100000,0,0,0,100000,0,0,0
94,100000,0,0,0,100000,0,0,0
95,100000,0,0,0,100000,0,0,0
96,100000,0,0,0,100000,0,0,0
97,100000,0,0,0,100000,0,0,0
98,100000,0,0,0,100000,0,0,0
99,100000,0,0,0,100000,0,0,0
100,100000,0,0,0,100000,0,0,0
