"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,56,99944,56,99944,56,99944,56,99944,56,99944,0,0,0,0,0,0,0,0,65866,34134,63096,36904,63051,36949,62976,37024,62976,37024,4961,5668,5797,5668,2191,2853,2907,2917
"2",3,3381,96619,3381,96619,3381,96619,3381,96619,3381,96619,0,0,0,0,0,0,0,0,66656,33344,62595,37405,60332,39668,60007,39993,60007,39993,8439,12230,12607,12819,4378,5906,5958,6102
"3",4,34525,65475,34525,65475,34525,65475,34525,65475,34525,65475,0,0,0,0,0,0,0,0,61752,38248,58671,41329,57624,42376,57427,42573,57427,42573,9974,12523,12897,13215,6893,8395,8572,8847
"4",5,86694,13306,86694,13306,86694,13306,86694,13306,86694,13306,0,0,0,0,0,0,0,0,69837,30163,69320,30680,69051,30949,69068,30932,69068,30932,8116,9784,9981,10225,7599,8998,9212,9406
"5",6,99685,315,99685,315,99685,315,99685,315,99685,315,0,0,0,0,0,0,0,0,87783,12217,89918,10082,90282,9718,90482,9518,90482,9518,3511,4005,3944,3906,5646,6504,6643,6766
"6",7,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,96926,3074,98290,1710,98610,1390,98779,1221,98779,1221,843,756,675,695,2207,2440,2528,2519
"7",8,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,99407,593,99806,194,99859,141,99872,128,99872,128,136,100,86,96,535,552,551,568
"8",9,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,99912,88,99980,20,99988,12,99993,7,99993,7,16,11,5,4,84,87,86,88
"9",10,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,99989,11,99998,2,99998,2,1e+05,0,1e+05,0,2,2,0,2,11,11,11,11
"10",11,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,99999,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,1,1,1,1
