"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,30,99970,30,99970,30,99970,30,99970,74907,25093,74907,25093,74897,25103,74763,25237
"2",3,355,99645,355,99645,355,99645,355,99645,87437,12563,87483,12517,87489,12511,87483,12517
"3",4,1506,98494,1506,98494,1512,98488,1516,98484,93889,6111,93904,6096,93777,6223,93808,6192
"4",5,3931,96069,3930,96070,3971,96029,4006,95994,96869,3131,96858,3142,96899,3101,96884,3116
"5",6,7733,92267,7738,92262,7844,92156,7918,92082,98487,1513,98498,1502,98483,1517,98478,1522
"6",7,13600,86400,13606,86394,13889,86111,13990,86010,99253,747,99247,753,99220,780,99214,786
"7",8,20542,79458,20535,79465,21002,78998,21114,78886,99566,434,99565,435,99598,402,99593,407
"8",9,28587,71413,28614,71386,29060,70940,29110,70890,99821,179,99816,184,99807,193,99800,200
"9",10,38350,61650,38375,61625,38388,61612,38441,61559,99887,113,99886,114,99904,96,99899,101
"10",11,48640,51360,48616,51384,48211,51789,47957,52043,99947,53,99944,56,99940,60,99951,49
"11",12,59289,40711,59254,40746,58025,41975,57473,42527,99978,22,99976,24,99977,23,99978,22
"12",13,68885,31115,68816,31184,66753,33247,66127,33873,99983,17,99984,16,99981,19,99980,20
"13",14,77809,22191,77721,22279,75149,24851,74222,25778,99990,10,99987,13,99998,2,99993,7
"14",15,84934,15066,84842,15158,82030,17970,81040,18960,99995,5,99997,3,99995,5,99998,2
"15",16,90412,9588,90365,9635,87809,12191,86600,13400,1e+05,0,99999,1,99999,1,1e+05,0
"16",17,94226,5774,94171,5829,91756,8244,90668,9332,1e+05,0,99999,1,1e+05,0,1e+05,0
"17",18,96983,3017,96978,3022,94977,5023,94176,5824,1e+05,0,1e+05,0,99999,1,99999,1
"18",19,98381,1619,98376,1624,97018,2982,96268,3732,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"19",20,99258,742,99218,782,98357,1643,97765,2235,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"20",21,99694,306,99678,322,99124,876,98746,1254,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"21",22,99869,131,99864,136,99599,401,99323,677,1e+05,0,1e+05,0,1e+05,0,1e+05,0
