"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,32,99968,0,0,71625,21389,3473,3513,71485,21483,3501,3531
"2",3,380,99620,0,0,83888,8967,3586,3559,83799,8803,3745,3653
"3",4,1529,98463,8,0,91092,3700,2618,2590,91111,3645,2632,2612
"4",5,3908,96034,53,5,95206,1533,1663,1598,95338,1492,1620,1550
"5",6,7862,91915,190,33,97574,666,874,886,97478,654,963,905
"6",7,13064,86270,493,173,98754,293,484,469,98752,272,511,465
"7",8,20013,78480,950,557,99333,125,265,277,99384,128,253,235
"8",9,27181,69932,1627,1260,99669,54,139,138,99684,47,120,149
"9",10,36037,59416,2294,2253,99838,21,73,68,99840,28,76,56
"10",11,44947,48564,2944,3545,99927,12,30,31,99900,17,47,36
"11",12,54315,37554,3433,4698,99952,7,24,17,99958,8,16,18
"12",13,63377,27295,3671,5657,99980,2,12,6,99971,4,12,13
"13",14,71551,18711,3531,6207,99993,0,4,3,99985,0,7,8
"14",15,78970,12261,2983,5786,99995,0,3,2,99994,1,4,1
"15",16,85398,7137,2386,5079,1e+05,0,0,0,99997,0,1,2
"16",17,90355,3927,1793,3925,1e+05,0,0,0,99999,0,0,1
"17",18,93861,1965,1150,3024,99999,1,0,0,1e+05,0,0,0
"18",19,96353,929,658,2060,99999,0,0,1,99999,0,1,0
"19",20,98043,389,340,1228,99999,0,0,1,1e+05,0,0,0
"20",21,98979,137,170,714,1e+05,0,0,0,1e+05,0,0,0
"21",22,99529,49,57,365,1e+05,0,0,0,1e+05,0,0,0
"22",23,99791,18,36,155,1e+05,0,0,0,99999,0,1,0
"23",24,99895,1,13,91,1e+05,0,0,0,1e+05,0,0,0
"24",25,99956,3,4,37,1e+05,0,0,0,1e+05,0,0,0
"25",26,99984,1,1,14,1e+05,0,0,0,1e+05,0,0,0
"26",27,99993,0,0,7,1e+05,0,0,0,1e+05,0,0,0
"27",28,99996,0,0,4,1e+05,0,0,0,1e+05,0,0,0
"28",29,99999,0,0,1,1e+05,0,0,0,1e+05,0,0,0
"29",30,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"30",31,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"31",32,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"32",33,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"38",39,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"43",44,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
