"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,25,99975,0,0,1e+05,0,0,0,0,0,0,0
"2",3,365,99633,2,0,1e+05,0,0,0,0,0,0,0
"3",4,1506,98469,25,0,1e+05,0,0,0,0,0,0,0
"4",5,3900,95960,134,6,1e+05,0,0,0,0,0,0,0
"5",6,7805,91653,494,48,1e+05,0,0,0,0,0,0,0
"6",7,13023,85625,1117,235,1e+05,0,0,0,0,0,0,0
"7",8,19898,77344,2003,755,1e+05,0,0,0,0,0,0,0
"8",9,26827,68073,3255,1845,1e+05,0,0,0,0,0,0,0
"9",10,34691,57282,4485,3542,1e+05,0,0,0,0,0,0,0
"10",11,43147,45916,5443,5494,1e+05,0,0,0,0,0,0,0
"11",12,51211,35099,5844,7846,1e+05,0,0,0,0,0,0,0
"12",13,59386,25287,5730,9597,1e+05,0,0,0,0,0,0,0
"13",14,67068,17304,5120,10508,1e+05,0,0,0,0,0,0,0
"14",15,74367,10840,4063,10730,1e+05,0,0,0,0,0,0,0
"15",16,80062,6404,3119,10415,1e+05,0,0,0,0,0,0,0
"16",17,85221,3385,2192,9202,1e+05,0,0,0,0,0,0,0
"17",18,89406,1759,1294,7541,1e+05,0,0,0,0,0,0,0
"18",19,92508,757,764,5971,1e+05,0,0,0,0,0,0,0
"19",20,94630,351,374,4645,1e+05,0,0,0,0,0,0,0
"20",21,96348,128,175,3349,1e+05,0,0,0,0,0,0,0
"21",22,97502,48,59,2391,1e+05,0,0,0,0,0,0,0
"22",23,98312,10,38,1640,1e+05,0,0,0,0,0,0,0
"23",24,98842,1,14,1143,1e+05,0,0,0,0,0,0,0
"24",25,99247,1,2,750,1e+05,0,0,0,0,0,0,0
"25",26,99458,0,1,541,1e+05,0,0,0,0,0,0,0
"26",27,99672,0,0,328,1e+05,0,0,0,0,0,0,0
"27",28,99815,0,0,185,1e+05,0,0,0,0,0,0,0
"28",29,99873,0,0,127,1e+05,0,0,0,0,0,0,0
"29",30,99911,0,0,89,1e+05,0,0,0,0,0,0,0
"30",31,99951,0,0,49,1e+05,0,0,0,0,0,0,0
"31",32,99966,0,0,34,1e+05,0,0,0,0,0,0,0
"32",33,99988,0,0,12,1e+05,0,0,0,0,0,0,0
"33",34,99986,0,0,14,1e+05,0,0,0,0,0,0,0
"34",35,99990,0,0,10,1e+05,0,0,0,0,0,0,0
"35",36,99998,0,0,2,1e+05,0,0,0,0,0,0,0
"36",37,99998,0,0,2,1e+05,0,0,0,0,0,0,0
"37",38,99997,0,0,3,1e+05,0,0,0,0,0,0,0
"38",39,99999,0,0,1,1e+05,0,0,0,0,0,0,0
"39",40,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"40",41,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"41",42,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"42",43,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"43",44,99999,0,0,1,1e+05,0,0,0,0,0,0,0
"44",45,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"45",46,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"46",47,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"47",48,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"48",49,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"49",50,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"50",51,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"51",52,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"52",53,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"53",54,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"54",55,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"55",56,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"56",57,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"57",58,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"58",59,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"59",60,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"60",61,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"61",62,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"62",63,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"63",64,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"64",65,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"65",66,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"66",67,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"67",68,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"68",69,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"69",70,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"70",71,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"71",72,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"72",73,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"73",74,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"74",75,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"75",76,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"76",77,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"77",78,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"78",79,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"79",80,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"80",81,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"81",82,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
"82",83,1e+05,0,0,0,1e+05,0,0,0,0,0,0,0
