"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,27,99973,27,99973,0,0,74854,25146,74920,25080,3522,3588
"2",3,353,99647,355,99645,0,2,87579,12421,87475,12525,3728,3624
"3",4,1527,98473,1532,98468,0,5,93621,6379,93570,6430,2722,2671
"4",5,3884,96116,3938,96062,4,58,96924,3076,96873,3127,1612,1561
"5",6,7819,92181,7986,92014,36,203,98444,1556,98427,1573,922,905
"6",7,13432,86568,13713,86287,187,468,99165,835,99139,861,559,533
"7",8,20393,79607,20862,79138,518,987,99600,400,99623,377,251,274
"8",9,28678,71322,28984,71016,1302,1608,99805,195,99792,208,146,133
"9",10,38314,61686,38273,61727,2380,2339,99898,102,99915,85,62,79
"10",11,48533,51467,48054,51946,3559,3080,99965,35,99956,44,36,27
"11",12,59078,40922,57710,42290,4889,3521,99976,24,99984,16,12,20
"12",13,68802,31198,67015,32985,5594,3807,99978,22,99986,14,10,18
"13",14,77715,22285,75210,24790,6027,3522,99995,5,99997,3,1,3
"14",15,85044,14956,82262,17738,5757,2975,99995,5,99999,1,1,5
"15",16,90573,9427,87815,12185,5144,2386,99999,1,99999,1,1,1
"16",17,94322,5678,91865,8135,4155,1698,99998,2,99999,1,1,2
"17",18,96819,3181,95054,4946,2928,1163,99999,1,99999,1,1,1
"18",19,98398,1602,97021,2979,2032,655,1e+05,0,1e+05,0,0,0
"19",20,99245,755,98353,1647,1263,371,1e+05,0,1e+05,0,0,0
"20",21,99661,339,99155,845,688,182,1e+05,0,1e+05,0,0,0
"21",22,99864,136,99572,428,373,81,99999,1,1e+05,0,0,1
"22",23,99950,50,99799,201,181,30,1e+05,0,1e+05,0,0,0
"23",24,99983,17,99891,109,101,9,1e+05,0,1e+05,0,0,0
"24",25,99995,5,99952,48,46,3,1e+05,0,1e+05,0,0,0
"25",26,1e+05,0,99991,9,9,0,1e+05,0,1e+05,0,0,0
"26",27,1e+05,0,99995,5,5,0,1e+05,0,1e+05,0,0,0
"27",28,1e+05,0,99996,4,4,0,1e+05,0,1e+05,0,0,0
"28",29,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"29",30,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"30",31,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"31",32,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"32",33,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"33",34,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"34",35,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"35",36,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"36",37,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"37",38,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"38",39,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"39",40,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"40",41,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"41",42,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"42",43,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"43",44,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"44",45,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"45",46,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"46",47,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"47",48,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"48",49,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"49",50,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
