S,Exp_unst,Exp_stbl,beta_unst,beta_stbl,gamma_unst,gamma_stbl
2,30,99970,30,99970,30,99970
3,355,99645,355,99645,355,99645
4,1506,98494,1512,98488,1516,98484
5,3930,96070,3971,96029,4006,95994
6,7738,92262,7844,92156,7918,92082
7,13606,86394,13889,86111,13990,86010
8,20535,79465,21002,78998,21114,78886
9,28614,71386,29060,70940,29110,70890
10,38375,61625,38388,61612,38441,61559
11,48616,51384,48211,51789,47957,52043
12,59254,40746,58025,41975,57473,42527
13,68816,31184,66753,33247,66127,33873
14,77721,22279,75149,24851,74222,25778
15,84842,15158,82030,17970,81040,18960
16,90365,9635,87809,12191,86600,13400
17,94171,5829,91756,8244,90668,9332
18,96978,3022,94977,5023,94176,5824
19,98376,1624,97018,2982,96268,3732
20,99218,782,98357,1643,97765,2235
21,99678,322,99124,876,98746,1254
22,99864,136,99599,401,99323,677
23,99954,46,99783,217,99668,332
24,99978,22,99920,80,99821,179
25,99996,4,99967,33,99911,89
26,99999,1,99979,21,99960,40
27,99999,1,99990,10,99983,17
28,100000,0,99999,1,99991,9
29,100000,0,99999,1,99999,1
30,100000,0,100000,0,100000,0
31,100000,0,100000,0,99999,1
32,100000,0,100000,0,100000,0
…,…,…,…,…,…,…
50,100000,0,100000,0,100000,0
