N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised
2,4,9996,4,9996,0,0
3,38,9962,38,9962,0,0
4,144,9856,144,9856,0,0
5,416,9584,413,9587,3,0
6,797,9203,785,9215,12,0
7,1360,8640,1327,8673,33,0
8,2043,7957,1895,8105,148,0
9,2951,7049,2555,7445,396,0
10,3809,6191,3081,6919,728,0
11,4936,5064,3676,6324,1260,0
12,5869,4131,4037,5963,1832,0
13,6895,3105,4507,5493,2388,0
14,7727,2273,4680,5320,3047,0
15,8479,1521,4898,5102,3581,0
16,9067,933,5314,4686,3753,0
17,9397,603,5446,4554,3951,0
18,9682,318,5558,4442,4125,1
19,9840,160,5845,4155,3995,0
20,9928,72,5955,4045,3973,0
21,9971,29,6269,3731,3702,0
22,9991,9,6615,3385,3376,0
23,9993,7,6992,3008,3001,0
24,9997,3,7396,2604,2601,0
25,10000,0,7819,2181,2181,0
26,9999,1,8254,1746,1745,0
27,10000,0,8625,1375,1375,0
28,10000,0,9009,991,991,0
29,10000,0,9280,720,720,0
30,10000,0,9535,465,465,0
31,10000,0,9672,328,328,0
32,10000,0,9805,195,195,0
33,10000,0,9897,103,103,0
34,10000,0,9940,60,60,0
35,10000,0,9969,31,31,0
36,10000,0,9982,18,18,0
37,10000,0,9993,7,7,0
38,10000,0,9999,1,1,0
39,10000,0,9999,1,1,0
40,10000,0,9999,1,1,0
